time,module,action
0.0,PROCEDURAL,CONFLICT RESOLUTION
0.0,PROCEDURAL,NO RULE FOUND
0.0,visual_location,"ENCODED LOCATION: _visuallocation(color= , screen_x= 320, screen_y= 185, value= )"
0.0,PROCEDURAL,CONFLICT RESOLUTION
0.0,PROCEDURAL,NO RULE FOUND
0.0122,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= O)"
0.0122,PROCEDURAL,CONFLICT RESOLUTION
0.0122,PROCEDURAL,RULE SELECTED: encode_letter
0.0622,PROCEDURAL,RULE FIRED: encode_letter
0.0622,g,MODIFIED
0.0622,g2,CLEARED
0.0622,PROCEDURAL,CONFLICT RESOLUTION
0.0622,PROCEDURAL,NO RULE FOUND
0.2622,g2,CREATED A CHUNK: image(img= O)
0.2622,PROCEDURAL,CONFLICT RESOLUTION
0.2622,PROCEDURAL,RULE SELECTED: ignore_non_A
0.3122,PROCEDURAL,RULE FIRED: ignore_non_A
0.3122,g,MODIFIED
0.3122,PROCEDURAL,CONFLICT RESOLUTION
0.3122,PROCEDURAL,RULE SELECTED: reset_goal
0.3622,PROCEDURAL,RULE FIRED: reset_goal
0.3622,g,MODIFIED
0.3622,PROCEDURAL,CONFLICT RESOLUTION
0.3622,PROCEDURAL,RULE SELECTED: encode_letter
0.4122,PROCEDURAL,RULE FIRED: encode_letter
0.4122,g,MODIFIED
0.4122,g2,CLEARED
0.4122,PROCEDURAL,CONFLICT RESOLUTION
0.4122,PROCEDURAL,NO RULE FOUND
0.6122,g2,CREATED A CHUNK: image(img= O)
0.6122,PROCEDURAL,CONFLICT RESOLUTION
0.6122,PROCEDURAL,RULE SELECTED: ignore_non_A
0.6622,PROCEDURAL,RULE FIRED: ignore_non_A
0.6622,g,MODIFIED
0.6622,PROCEDURAL,CONFLICT RESOLUTION
0.6622,PROCEDURAL,RULE SELECTED: reset_goal
0.7122,PROCEDURAL,RULE FIRED: reset_goal
0.7122,g,MODIFIED
0.7122,PROCEDURAL,CONFLICT RESOLUTION
0.7122,PROCEDURAL,RULE SELECTED: encode_letter
0.7622,PROCEDURAL,RULE FIRED: encode_letter
0.7622,g,MODIFIED
0.7622,g2,CLEARED
0.7622,PROCEDURAL,CONFLICT RESOLUTION
0.7622,PROCEDURAL,NO RULE FOUND
0.9622,g2,CREATED A CHUNK: image(img= O)
0.9622,PROCEDURAL,CONFLICT RESOLUTION
0.9622,PROCEDURAL,RULE SELECTED: ignore_non_A
1.0,visual_location,"ENCODED LOCATION: _visuallocation(color= , screen_x= 320, screen_y= 185, value= )"
1.009,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
1.0122,PROCEDURAL,RULE FIRED: ignore_non_A
1.0122,g,MODIFIED
1.0122,PROCEDURAL,CONFLICT RESOLUTION
1.0122,PROCEDURAL,RULE SELECTED: reset_goal
1.0622,PROCEDURAL,RULE FIRED: reset_goal
1.0622,g,MODIFIED
1.0622,PROCEDURAL,CONFLICT RESOLUTION
1.0622,PROCEDURAL,RULE SELECTED: encode_letter
1.1122,PROCEDURAL,RULE FIRED: encode_letter
1.1122,g,MODIFIED
1.1122,g2,CLEARED
1.1122,PROCEDURAL,CONFLICT RESOLUTION
1.1122,PROCEDURAL,NO RULE FOUND
1.3122,g2,CREATED A CHUNK: image(img=  )
1.3122,PROCEDURAL,CONFLICT RESOLUTION
1.3122,PROCEDURAL,RULE SELECTED: ignore_non_A
1.3622,PROCEDURAL,RULE FIRED: ignore_non_A
1.3622,g,MODIFIED
1.3622,PROCEDURAL,CONFLICT RESOLUTION
1.3622,PROCEDURAL,RULE SELECTED: reset_goal
1.4122,PROCEDURAL,RULE FIRED: reset_goal
1.4122,g,MODIFIED
1.4122,PROCEDURAL,CONFLICT RESOLUTION
1.4122,PROCEDURAL,RULE SELECTED: encode_letter
1.4622,PROCEDURAL,RULE FIRED: encode_letter
1.4622,g,MODIFIED
1.4622,g2,CLEARED
1.4622,PROCEDURAL,CONFLICT RESOLUTION
1.4622,PROCEDURAL,NO RULE FOUND
1.6622,g2,CREATED A CHUNK: image(img=  )
1.6622,PROCEDURAL,CONFLICT RESOLUTION
1.6622,PROCEDURAL,RULE SELECTED: ignore_non_A
1.7122,PROCEDURAL,RULE FIRED: ignore_non_A
1.7122,g,MODIFIED
1.7122,PROCEDURAL,CONFLICT RESOLUTION
1.7122,PROCEDURAL,RULE SELECTED: reset_goal
1.7622,PROCEDURAL,RULE FIRED: reset_goal
1.7622,g,MODIFIED
1.7622,PROCEDURAL,CONFLICT RESOLUTION
1.7622,PROCEDURAL,RULE SELECTED: encode_letter
1.8122,PROCEDURAL,RULE FIRED: encode_letter
1.8122,g,MODIFIED
1.8122,g2,CLEARED
1.8122,PROCEDURAL,CONFLICT RESOLUTION
1.8122,PROCEDURAL,NO RULE FOUND
2.0,visual_location,"ENCODED LOCATION: _visuallocation(color= , screen_x= 320, screen_y= 185, value= )"
2.0,PROCEDURAL,CONFLICT RESOLUTION
2.0,PROCEDURAL,NO RULE FOUND
2.0122,g2,CREATED A CHUNK: image(img=  )
2.0122,PROCEDURAL,CONFLICT RESOLUTION
2.0122,PROCEDURAL,RULE SELECTED: ignore_non_A
2.0128,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value= A)"
2.0622,PROCEDURAL,RULE FIRED: ignore_non_A
2.0622,g,MODIFIED
2.0622,PROCEDURAL,CONFLICT RESOLUTION
2.0622,PROCEDURAL,RULE SELECTED: reset_goal
2.1122,PROCEDURAL,RULE FIRED: reset_goal
2.1122,g,MODIFIED
2.1122,PROCEDURAL,CONFLICT RESOLUTION
2.1122,PROCEDURAL,RULE SELECTED: encode_letter
2.1622,PROCEDURAL,RULE FIRED: encode_letter
2.1622,g,MODIFIED
2.1622,g2,CLEARED
2.1622,PROCEDURAL,CONFLICT RESOLUTION
2.1622,PROCEDURAL,NO RULE FOUND
2.3622,g2,CREATED A CHUNK: image(img= A)
2.3622,PROCEDURAL,CONFLICT RESOLUTION
2.3622,PROCEDURAL,RULE SELECTED: respond_to_A
2.4122,PROCEDURAL,RULE FIRED: respond_to_A
2.4122,g,MODIFIED
2.4122,manual,COMMAND: press_key
2.4122,PROCEDURAL,CONFLICT RESOLUTION
2.4122,PROCEDURAL,RULE SELECTED: reset_goal
2.4622,PROCEDURAL,RULE FIRED: reset_goal
2.4622,g,MODIFIED
2.4622,PROCEDURAL,CONFLICT RESOLUTION
2.4622,PROCEDURAL,RULE SELECTED: encode_letter
2.5122,PROCEDURAL,RULE FIRED: encode_letter
2.5122,g,MODIFIED
2.5122,g2,CLEARED
2.5122,PROCEDURAL,CONFLICT RESOLUTION
2.5122,PROCEDURAL,NO RULE FOUND
2.6622,manual,PREPARATION COMPLETE
2.6622,PROCEDURAL,CONFLICT RESOLUTION
2.6622,PROCEDURAL,NO RULE FOUND
2.7122,manual,INITIATION COMPLETE
2.7122,g2,CREATED A CHUNK: image(img= A)
2.7122,PROCEDURAL,CONFLICT RESOLUTION
2.7122,PROCEDURAL,NO RULE FOUND
2.8122,manual,KEY PRESSED: 1
2.8122,PROCEDURAL,CONFLICT RESOLUTION
2.8122,PROCEDURAL,NO RULE FOUND
2.9622,manual,MOVEMENT FINISHED
2.9622,PROCEDURAL,CONFLICT RESOLUTION
2.9622,PROCEDURAL,RULE SELECTED: respond_to_A
3.0084,visual,"AUTOMATIC BUFFERING: _visual(cmd= , color= , screen_pos= _visuallocation(color= , screen_x= 320, screen_y= 185, value= ), value=  )"
3.0122,PROCEDURAL,RULE FIRED: respond_to_A
3.0122,g,MODIFIED
3.0122,manual,COMMAND: press_key
3.0122,manual,PREPARATION COMPLETE
3.0122,PROCEDURAL,CONFLICT RESOLUTION
3.0122,PROCEDURAL,RULE SELECTED: reset_goal
3.0622,manual,INITIATION COMPLETE
3.0622,PROCEDURAL,RULE FIRED: reset_goal
3.0622,g,MODIFIED
3.0622,PROCEDURAL,CONFLICT RESOLUTION
3.0622,PROCEDURAL,RULE SELECTED: encode_letter
3.1122,PROCEDURAL,RULE FIRED: encode_letter
3.1122,g,MODIFIED
3.1122,g2,CLEARED
3.1122,PROCEDURAL,CONFLICT RESOLUTION
3.1122,PROCEDURAL,NO RULE FOUND
3.1622,manual,KEY PRESSED: 1
3.1622,PROCEDURAL,CONFLICT RESOLUTION
3.1622,PROCEDURAL,NO RULE FOUND
3.3122,manual,MOVEMENT FINISHED
3.3122,g2,CREATED A CHUNK: image(img=  )
3.3122,PROCEDURAL,CONFLICT RESOLUTION
3.3122,PROCEDURAL,RULE SELECTED: ignore_non_A
3.3622,PROCEDURAL,RULE FIRED: ignore_non_A
3.3622,g,MODIFIED
3.3622,PROCEDURAL,CONFLICT RESOLUTION
